검찰, 김재철 전 MBC사장 6일 오전 10시 피의자 소환(1보)	김재철 전 MBC 사장 연합뉴스 자료사진 기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
[일지]文대통령 취임 후 트럼프 대통령과의 역대 정상회담·통화 	【워싱턴뉴시스】전신 기자  문재인 대통령과 도널드 트럼프 미 대통령이 30일현지시간 미국 워싱턴 백악관 로즈가든에서 공동 언론 발표를 하고 있다 20170701   【서울뉴시스】장윤희 기자  문재인 대통령과 트럼프 대통령은 오는 7일 청와대에서 한미정상회담을 갖는다 문 대통령 취임 이후 한일정상회담은 지난 6월30일 미국 워싱턴에서 지난 9월21일 유엔총회가 열리는 미국 뉴욕에 이어 이번이 세 번째다   문 대통령과 트럼프 대통령은 정상회담 외에 그동안 다섯차례 정상통화를 가졌다 두 정상은 지난 5월10일 문 대통령 당선 축하 전화를 시작으로 북한의 핵·미사일 도발이 있을 때마다 정상 통화로 한반도 정세와 대북 대응을 논의했다    다음은 문 대통령과 트럼프 대통령의 역대 정상회담과 정상통화 일지  ◇한미정상회담  ▲2017년 6월30일미국 워싱턴 문재인 대통령의 취임 첫 해외 순방으로 백악관에서 트럼프 대통령과 한미정상회담 우리나라 역대 대통령 가운데 취임 후 가장 빠른 한미정상회담으로 기록   ▲2017년 9월21일미국 뉴욕 문재인 대통령이 뉴욕에서 열리는 제72차 유엔총회를 계기로 미국을 방문해 트럼프 대통령과 한미정상회담    ▲2017년 11월7일대한민국 서울 문재인 대통령 취임 후 트럼프 대통령이 외국 국가원수로서 최초 방한 예정 트럼프 대통령은 1992년 조지 허버트 워커 부시 대통령 이후 25년 만에 국빈자격 방한   ◇한미정상통화한국시각   ▲2017년 5월10일오후 10시30분오후11시 문재인 대통령의 제19대 대통령선거 당선과 취임을 계기로 트럼프 대통령과 축하인사 전화 【서울뉴시스】 ▲2017년 8월7일오전 7시58분오전 8시54분 북한의 대륙간탄도미사일ICBM급 화성14 도발 논의   ▲2017년 9월1일오후 11시10분오후 11시40분 북한의 단거리탄도미사일SRBM과 중장거리탄도미사일IRBM 화성12 도발 관련 논의  ▲2017년 9월4일오후 10시45분오후 11시25분 북한의 제6차 핵실험 관련 논의   ▲2017년 9월17일오전 11시오전 11시25분 북한의 화성12호 발사 관련 논의     
한국당·바른정당·국민의당 수상한 '방송장악' 콜라보	바른정당·국민의당 정책협약 “방송법 개정안 최우선”… 입장 바뀐 보수야당 ‘프레임’에 국민의당 가세 미디어오늘 강성원 기자 ‘문재인 정부의 방송장악’ 프레임을 내걸고 국회 보이콧 등 정부·여당을 압박했던 자유한국당에 이어 국민의당·바른정당도 손잡고 정부의 공영방송 개혁에 제동을 걸고 나섰다  앞서 국민의당과 바른정당은 지난 2일 공영방송 MBC 대주주인 방송문화진흥회가 고영주 이사장에 대한 불신임 결의안을 통과시킨 것에 대해서도 정부·여당의 일방적 밀어붙이기라고 비판하며 방송법 개정안 통과를 촉구했다  그동안 한국당과 바른정당이 문재인 정부의 ‘공영방송 정상화’를 ‘방송 장악’이라며 줄기차게 반대한 반면 국민의당은 언론 적폐 청산은 필요하다며 다른 결의 목소리를 내왔다  하지만 국민의당은 공영방송 이사와 사장 교체 절차·방법에 대해선 여당과 각을 세우며 보수 야당과 한목소리를 내고 있다 현행법이 아닌 개정된 방송법에 따라 공영방송 인사를 선임해야 한다는 주장이다 정권이 바뀌기 전 방송법 개정안에 반대해 왔던 보수 야당이 이제 와서 방송법 개정을 요구하는 데 국민의당이 보조를 맞춘 셈이다  ▲ 김동철 국민의당 원내대표왼쪽와 주호영 바른정당 원내대표오른쪽가 3일 오전 국회 귀빈식당에서 열린 정책협약 발표 공동 기자간담회에서 의견을 나누고 있다 사진민중의소리   국민의당과 바른정당은 3일 오전 국회 본청에서 정책협약을 위한 원내대표 공동 기자간담회를 열고 현시점에서 가장 시급하고 중요하다고 생각하는 6개 법안△방송법 개정안 △특별감찰관법 △지방자치법·국민체육진흥법 △규제프리존특별법 △서비스산업기본발전법 △채용절차공정화법을 선정해 정책협약서에 서명했다  특히 두 당은 6개 법안 중 가장 시급하고 먼저 통과될 법안으로 방송법 개정안을 꼽았다 김동철 국민의당 원내대표는 “이 법안은 더불어민주당이 야당 시절 국민의당·정의당 등 162명 의원이 공동발의한 것”이라며 “공영방송 경영진이 교체돼야 하는 것은 맞으나 이는 민주당이 주도해 서명한 개정된 방송법에 의해 추진돼야 한다 이는 결코 우리가 양보할 수 없는 마지노선”이라고 강조했다  김 원내대표는 “지금 문재인 정부가 과거 자유한국당과 박근혜 정부에서 있었던 방송장악을 문제 삼는 것까진 우리가 이해한다”면서도 “그러나 공영방송 이사들을 사실상 강압적인 방법으로 퇴진시키고 경영진을 현행 방송법에 의해 교체하려고 하는 것은 자신들의 코드에 맞는 인사로 방송장악 하겠다는 거여서 결코 용납할 수 없다”고 말했다  김 원내대표는 이어 “현재 방송통신위원회가 상당한 절차를 진행했으나 공영방송 사장은 개정된 방송법에 따라 임명돼야 방송의 공정성과 독립성을 지키는 길”이라며 “지금 방문진과 KBS 이사가 많이 교체됐으나 이게 공영방송 경영진 교체로까지 이어져선 안 된다”고 주장했다  국민의당과 바른정당은 원내대표 정책연대 발표문에서 “그동안 민주당이 여당에 유리하고 필요한 법안들은 줄기차게 야당에 처리를 요구해 왔지만 수차례 원내대표 회동을 통해 야당이 요구한 사항에 대해서는 답이 없었다”며 “민주당이 야당 시절 제안했던 법안들과 처리의 시급성을 요하는 법안 국민 다수의 공감대를 이룬 법안들을 중심으로 이번 정기국회 중점 처리 법안으로 선정해 공동으로 추진하기로 했다”고 밝혔다  그러면서 “양당은 앞서 촉구한 법안에 대해 민주당이 적극적으로 추진하겠다는 약속이 없으면 향후 법안과 예산 심의에 있어서 중대한 결심을 할 수밖에 없다”고 덧붙였다  주호영 바른정당 원내대표는 “기본적으로 여소야대 국회에서 국회선진화법이 있는 한 여당에게 야당과 협치하라는 강력한 명령”이라며 “여당이 자신들에게 필요한 법안만 통과하려고 하고 국민에게 꼭 필요한 6대 법안에 대한 입장을 명확히 하지 않으면 여당이 일방적으로 추진하는 법안에 우리가 협력할 수 없다는 게 중대한 결심”이라고 말했다  김동철 원내대표도 “이 최소한의 요구에 대해 오는 13일 국회의장과 4당 원내대표 회동까지 민주당이 합리적 긍정적 답변을 내놓는지 지켜볼 것”이라며 “국회 거부나 일정 보이콧 방식보다 계속 우리의 입장을 설득하면서 여당이 협조할 수밖에 없는 상황을 만들어낼 것”이라고 설명했다  한편 이날 정우택 한국당 원내대표는 최고위원회의에서 고영주 방문진 이사장 불신임안 가결에 대해 “방문진의 밀어붙이기식 폭거가 진행됐다”며 “이제 다음 주에는 김장겸 MBC 사장 해임 시도도 예상되는데 우리는 방문진의 이런 모든 일련의 작태가 원천무효임을 밝힌다”고 반발했다  정 원내대표는 지난 2일 방통위가 KBS 보궐이사로 조용환 변호사를 추천한 것에 대해서도 “국가관과 안보관 법조인의 기본 상식에 심각한 결함이 있는 사람으로 이사회가 채워지는 데 심히 우려스럽다”며 “이 문제는 한국당이 방송법 개정에 속도를 냄으로써 정부·여당의 공영방송 장악 시도를 입법으로 막아내고 바로잡는 작업에 박차 가하겠다”고 밝혔다 강성원 기자 미디어오늘 바로가기   미디어오늘 페이스북 미디어오늘을 지지·격려하는  가장 확실한 방법 n   본문 내용  n
10년 전 박근혜 지킨 정갑윤 "누가 박 전 대통령에게 돌을 던지나"	박 전 대통령 제명 초읽기 친박 자처하던 정치인들은 침묵 오마이뉴스 박석철 기자                 ▲  xa02007년 7월 9일 오전 11시부터 울산 남구 근로자복지회관에서 열린 박근혜 예비후보 초청 울산지역 당원교육에서 박근혜 예비후보와 정갑윤 의원박 후보 오른쪽 등이 손을 들어 당원들의 환호에 답하고 있다                 ⓒ 박석철     박 전 대통령이 3일 오후 홍준표 대표의 결정으로 자유한국당에서 제명될 것이 유력한 가운데 친박 정갑윤 의원이xa0지난xa02일 저녁 특정 개개인에게만 상징적으로 책임을 물어서는 안 되며 함께 책임지고 반성하고 변해야 할 것이다라는 글을 올려 주목된다 정갑윤 의원은 이날 자신의 페이스북에 올린 글에서 집권실패 보수위기에 대해서 어느 누구 하나 자유로울 수 없다면서 이같이 적었다 그는 또한 국민은 명령한다 죽을 각오로 보수재결집하라면서 하나의 보수로 미래를 향해 나아가자고 했다 특히 그는 작금의 당내 혼란을 종식시키기 위해 죽을 각오로 보수재결집에 나서야 한다고 주장했다 정 의원은 이어 문재인 정부는 적폐청산이라며 사정기관들을 동원해 보수와의 전면전에 나서고 있다고 주장하고 작금의 상황에서 당의 내홍은 보수를 향한 미움의 속도만 부추길 뿐이다고 지적했다  마지막으로 정 의원은 죽을 각오로 보수재결집에 나서야 한다 보수대결집에는 그 어떤 조건도 이유도 달지 말고 오로지 문재인 독재를 막고 자유대한민국을 지켜나가는 데 모든 역량을 모아야 할 것이다고 밝혔다 정갑윤 의원은 3일 기자와의 전화통화에서 과연 박 전 대통령에게 누가 돌을 던질 수 있겠나고 하는 차원에서 글을 올렸다면서 보수 정치인들이 모두가 책임을 통감하고 보수대결집으로 나아가자는 것이라고 밝혔다 한편 정갑윤 의원은 지난 2007년 한나라당 대통령 후보 경선 당시 울산 출범식에서 이명박 후보의 대세론에 박근혜 후보 출정식에 대다수 지역정치인들이 참가하지 않은 데 반해 유일하게 참가해 주목받았다 지난 2007년 7월 9일 오전 11시부터 울산 남구 근로자복지회관에서 열린 박근혜 예비후보 초청 울산지역 당원교육은 사실상의 박 후보 출범식이었다 이날xa0 울산지역구 4명의 국회의원 중 정갑윤 의원을 뺀 나머지 국회의원과 한나라당 소속xa02명의 시의원을xa0제외한 대다수 지방의원 등xa0정치인들이 이명박 후보 측 눈치를 보느라 참여하지 않았다 이 모습을 본 박근혜 후보는 침울한 표정을 지었고xa0박 후보 측 좌장이던xa0김무성 의원은 박근혜 후보가 총선과 지방선거 보궐선거 등에서 도와준 지역 정치인들이 모두 어디 갔느냐 이렇게 의리 없이 살아가야 되겠나면서 나도 사나이인데 눈물이 난다며 눈시울을 붉혔다 그로부터 10년이 흐른 2017년 11월 박근혜 전 대통령은 구속되고 자신이 좌지우지하던 당에서 제명될 위기에 처했다 하지만 얼마 전까지만 해도xa0친박을 자처하던 지역구 국회의원과 지방의원 등 정치인들이 박 전 대통령과 관련해 별다른 언행을 보이지 않으면서 10년 전과 비슷한 분위위기가 연출되고 있다 저작권자c 오마이뉴스시민기자 무단 전재 및 재배포 금지 ☞ 이 기사 응원 자발적 유료 구독  10만인클럽  ☞ 모든 시민은 기자다  오마이뉴스 기사 더보기  ☞ 페이지 좋아요 공식  페이스북 nt   본문 내용  n
[그래픽] 트럼프 미 대통령 국빈방한 주요 일정	서울연합뉴스 김토일 기자  문재인 대통령은 도널드 트럼프 미국 대통령의 방한 첫날인 7일 트럼프 대통령과 함께 청와대 경내를 산책하고 목조 한옥 건물인 상춘재에서 환담하는 등 친교의 시간을 가질 예정이다          페이스북 tuneykrLeYN1 트위터 yonhapgraphics 기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
홍준표, 朴 제명 초읽기..."잘라야 할 것을 자르지 못하면 재앙온다"	오후 6시 박근혜 출당 회견   자유한국당 홍준표 대표가 박근혜 전 대통령 제명 처리 등을 위해 3일 오전 서울 여의도 당사에서 열린 최고위원회의에 입장해 생각에 잠겨 있다연합뉴스 자유한국당 홍준표 대표가 3일 박근혜 전 대통령 제명 여부 발표에 앞서 ‘당단부단 반수기란當斷不斷 反受其亂’이라는 고사로 의중을 밝혔다 사실상 박 전 대통령 제명을 확정하는 쪽으로 결심을 굳힌 것으로 풀이된다 홍 대표는 이날 오후 페이스북에 “당단부단 반수기란”이라는 말을 남겼다 사기史記의 춘신군전春申君傳에 나오는 말로 ‘마땅히 잘라야 할 것을 자르지 못하면 훗날 재앙이 온다’는 뜻이다 박 전 대통령 제명 확정 여부를 논의한 이날 오전 최고위원회의에서 홍 대표는 “오늘 중으로 숙고해서 내 책임으로 결정을 내리겠다”고 밝혔다 홍 대표는 그러면서 “더 이상 시간을 늦추기가 어렵다 중요한 순간에 정치적 결정을 내리지 않으면 더 큰 혼란이 온다”고 말한 것으로 전해졌다 홍 대표는 이날 오후 6시 여의도 당사에서 기자간담회를 열고 박 전 대통령 제명 여부를 발표할 계획이다 유정인 기자  
추명호 "우병우 지시로 김진선 올림픽 위원장 동향 보고"	    추명호 전 국장왼쪽과 우병우 전 청와대 민정수석 연합뉴스         이른바 비선 보고 혐의로 검찰 수사를 받는추명호 전 국정원 국익정보국장이 검찰에 우병우 전 청와대 민정수석이 김진선 전 평창동계올림픽 조직위원장 등에 대한 동향과 비위 사실 등을 보고하라고 지시했다고 진술한 것으로 알려졌다        3일 조선일보에 따르면 추 전 국장의 이같은 진술에 대해 검찰은 우 전 수석이 추 전 국장에게 비선 지시나 보고를 받은 행위가 직권남용에 해당하는지 검토하고 있다고 전했다        추 전 국장은 지난해 2월 부하 직원에게 김진선 전 위원장에 대한 부정적인 동향과 비위 사실 등을 모아보라고 지시했다 이후 결과를 우 전 수석에게 직접 보고한 것으로 알려졌다        김 전 위원장의 경우 지난 2014년 7월 임기를 1년 넘게 남겨둔 상황에서 위원장직에서 사퇴했다 이에 청와대 외압설 의혹이 일어나기도 했다        추 전 국장은 검찰에서 우 전 수석이 설 연휴 직전 2년 전 물의를 빚었던 김 전 위원장이 20대 총선에 나오려고 하니 그의 동향 자료를 급히 달라고 했다고 진술한 것으로 전해졌다        또 추 전 국장은 작년 이광구 우리은행장이 우리은행 채용 비리와 관련됐다는 보고를 받고 이 은행장에 대한 뒷조사를 벌였다 추 전 국장은 조사 결과를 우 전 수석에게 먼저 보고하고 당시 이병호 국정원장과 최윤수 2차장에게 보고한 것으로 조사됐다        이에 추 전 국장은 검찰에 문제가 심각하다고 생각해 민정수석에게 먼저 보고했다는 취지의 진술을 한 것으로 알려졌다        오원석 기자    
[종합]우원식, 국민-바른 정책연대에 與 포함 '2+2+2 회의' 역제안	【서울뉴시스】박영태 기자  우원식 더불어민주당 원내대표가 3일 서울 영등포구 여의도 국회 더불어민주당 당대표회의실에서 진행된 최고위원회의에서 모두발언을 하고 있다   【서울뉴시스】이재우 윤다빈 기자  우원식 더불어민주당 원내대표는 3일 국민의당과 바른정당에 2정책위 의장원내수석부대표22회의 구성을 제안했다    이 회의체에서 국민의당과 바른정당이 합의한 중점 법안은 물론 대선 공통공약 입법과 폭넓은 정책 예산안 협의를 진행하자는 것이다    우 원내대표는 이날 오후 국회에서 기자회견을 열어 국민의당과 바른정당간 정책연대 합의에 대한 견해를 밝혔다    그는 양당이 생산적이고 효율적인 국회 운영을 위해서 입법 예산처리에 관한 입장을 내놓은 점에 대해 높이 평가한다며 입법과 예산에 대해 여당은 모든 것을 테이블에 올려놓고 논의할 수 있다는 입장이라는 점을 강조한다고 말했다    이어 두 당의 제안을 비롯해 대선 공통공약 입법 폭넓은 정책과 예산협의를 위해 3당 정책위 의장과 원내수석으로 구성되는 222 회의를 제안 드린다며 그 회의를 통해서 협의해나가자고 제안했다    우 원내대표는 여소야대 정치환경은 여야 모두에게 책임과 역할을 요구하고 있다며 민주당은 건설적 제안과 합리적 토론은 언제나 환영한다 야당도 책임 있는 자세로 국회 운영에 힘을 모아줄 것을 당부한다고 말했다   국민의당과 바른정당의 중대결심 발언에는 유감을 표시했다 양당의 예산과 법안 인사청문회 연계 가능성에 대한 경계도 드러냈다     우 원내대표는 아쉬운 점은 관철되지 않았을 때 중대결심을 하겠다고 얘기 했는데 그런 것보다는 대화와 토론 양보와 타협을 통해 해결하자고 하는 원칙을 먼저 세웠으면 좋겠다고 말했다       박홍근 원내수석부대표는 야당이 예산과 법안을 연계시켜 어떻게 나올지 인사 문제하고 어떻게 연계시켜 나올지 모르나 예산은 예산대로 인사는 인사대로 법안은 법안대로 충실하게 심사해야 한다는 입장을 고수한다고 강조했다     민주당은 두 야당의 6대 중점법안 중 방송법 특별감찰관법 등에 대해서는 입장차를 드러내기도 했다     박 원내수석은 방송법 개정안을 먼저 통과시킨 후 공영방송 사장을 임명해야 한다는 요구에 대해 공영방송 정상화와 방송법 개정은 별개라고 선을 그었다     단 우리는 방송법 개정 관련 당 입장을 바꾼다고 한 적이 없다며 추혜선 정의당 의원과 강효성 자유한국당 의원이 법안을 발의한다고 해 같이 심사할 것이라고 설명했다     박 원내수석은 야당 추천 인사를 특별감찰관에 임명하라는 요구에는 민주당 안인 야당이 제안하고 여당이 비토권을 행사해 여야가 합의한 3명을 대통령에게 추천하자는 것은 과거 여당의 기득권을 포기한 것이라며 부정적인 반응을 보였다     이밖에 지방자치법과 국민체육진흥법 규제프리존법과 서비스산업발전기본법 채용절차 공정화법 등에 대해서는 환영 또는 일부 수용 할 수 있다는 입장을 내놨다     한편 국민의당과 바른정당이 요구한 공무원 증원 예산 및 최저임금 인상 재정투입 원점 재검토에 대해서는 강경한 입장을 내놨다     우 원내대표는 공무원 증원 최저임금 인상은 꼭 해야 한다며 소득주도 성장의 핵심이다 우리 정부 중점 사업이다 그것을 꼭 할 것이다고 강조했다      
바른정당 "조국 수석, 불출석 사유서 아닌 사퇴서 내야" 	【수원뉴시스】바른정당 로고20170314뉴시스 자료사진  【서울뉴시스】김훈기 기자  바른정당이 오는 6일 국회운영위원회 국정감사에 불출석 사유서를 낸 조국 청와대 민정수석을 향해 사퇴서를 내야 한다고 비난했다    이종철 바른정당 대변인은 3일 논평을 내어 조국 민정수석이 국회 운영위원회에 불출석 사유서를 제출했다고 한다며 조국 수석은 불출석 사유서를 제출할 게 아니라 사퇴서를 제출해야 한다고 밝혔다     이 대변인은 문재인 정부 들어 인사 상 실패는 참사 수준이다 6개월이 되도록 조각을 완료하지 못한 채 인사 낙마자만 7명이다며 당장 홍종학 중소벤처기업부 장관 후보자를 보더라도 청문회를 개최하기도 전에 이미 민심이 돌아서고 있다고 말했다     이어 앞에선 정의로운 재벌 저격수 뒤에선 부의 대물림 등 홍 후보자만이 아닌 각종 내로남불이 쌓이며 문재인 정부 인사 수첩에는 왜 이런 사람들밖에 없나 한숨뿐이다고 지적했다    그러면서 국민들을 다시 한 번 개돼지 레밍 수준으로 전락시키는 그릇된 학벌주의와 물질주의 삐뚤어진 중소기업관으로 어떻게 중소벤처기업부 장관을 하겠는가라고 개탄했다     이 대변인은 한 인사 참사에 정부 여당을 통틀어 누구 한 명 반성하고 책임지는 걸 볼 수 없다며 헌법재판소장 사태만 하더라도 이미 심각한 사안이었다 대통령이 그렇게 면박을 당했으면 인사 책임자라도 나서야 할 것 아닌가라고 지적했다     이어 이런 민정수석에게 국회가 그나마 기회를 준다고 국민을 대신해 한 번 물어 보자는데 불출석 사유서를 제출하고 있다며 국회에도 나오기 싫으면 그냥 사퇴서를 쓰고 청와대를 나가는 게 맞다 그게 대통령을 위한 도리다라고 비판했다   
정지원號 산적한 과제 안고 출범…코스닥 강화·기업지배구조 개선 강조(종합)	 정통 금융관료 출신…정부 정책 발맞춰 자본시장 발전  “기업지배구조 개선 주도할 것…코스닥시장에 역량 집중”  지주사 전환 소외된 코스닥·코넥스 활성화 등 과제…노조 반발 부담 정지원 한국거래소 신임 이사장사진한국거래소 제공 이데일리 윤필호 기자 정지원 한국거래소 신임 이사장이 3일 우여곡절 끝에 취임식을 마치고 정식 업무를 시작했다 취임사를 통해 “거래소의 책임과 역할이 그 어느 기관보다 크다”고 밝힌 것처럼 현재 거래소는 지주사 전환과 코스닥 활성화 등 풀어야할 숙제가 산적한 상황이다 여기에 취임식을 저지시킨 노조가 지속적으로 무효를 주장하고 있어 향후 험로를 예고하고 있다 ◇“기업지배구조 개선 주도…코스닥 성장에 역량 집중” 정 신임 이사장은 3일 부산 본사에서 열린 취임식을 통해 정책 방향에 발맞춰 자본시장을 발전시키겠다는 뜻을 밝혔다 행정고시 27회 출신인 정 이사장은 정통 금융관료 출신 인사로 알려졌다 그는 재무부와 재정경제원을 거쳤고 금융감독위원회 은행감독과장·감독정책과장 금융위원회 금융서비스국장·상임위원 등을 거쳤다 2015년 12월부터는 한국증권금융 대표이사직을 맡았다 그는 기업 지배구조 개선을 주도하겠다는 뜻을 내비쳤다 정 이사장은 “코리아 디스카운트의 원인 중 하나인 기업 지배구조 문제를 개선하는데도 주도적인 역할을 수행해야 한다”면서 “올해 도입된 원칙준수·예외설명 방식Comply or Explain의 기업지배구조 자율공시에 많은 기업들이 참여토록 할 것”이라고 했다 이어 “‘스튜어드십 코드’Stewardship Code가 시장에 조기 정착될 수 있도록 만전을 기해야 할 것”이라고 했다 코스닥시장 성장에도 역량을 집중할 방침이다 정 이사장은 “코스닥시장이 창의와 혁신이 살아 숨 쉬는 모험자본 조달의 산실로 확고히 자리 잡도록 모든 역량을 집중할 계획”이라고 했다 또 코스닥시장 기반 상장지수펀드ETF 등 금융상품 다양화·활성화를 꾀하고 정부에 세제지원을 건의하겠다고 말했다 ◇지주사 전환·코스닥 활성화 등 곳곳에 숙제 신임 이사장의 취임과 함께 무엇보다 전 정권에서 마무리 짓지 못한 거래소 지배구조 개편에 따른 지주사 전환 이슈에 관심이 크다 거래소는 지난 2015년 지주사로 전환하고 유가 코스닥 파생본부 별로 자회사를 독립시키는 방안을 내놓았다 하지만 국회 문턱을 넘지 못한 채 지지부진한 상태다 코스닥시장의 활성화도 중점 과제다 올해 코스피 지수가 고공행진을 보였지만 코스닥은 기관이나 외국인 투자자의 외면을 받으면서 상대적으로 소외되는 모습을 보였다 코스닥 시가총액 1위 종목인 셀트리온의 경우 개인 주주들이 중심이 돼서 코스피시장 이전상장을 이끌어냈다 코넥스시장도 사정은 마찬가지다 해가 갈수록 거래량과 상장기업수가 감소하며 침체되고 있다 아울러 땅에 떨어진 시장의 신뢰도 회복시켜야 한다 지난해 터진 한미약품 내부자거래 사건과 같이 시장에 공개되지 않은 정보를 악용해 선량한 투자자가 피해를 보는 사례가 여전하다 개인 투자자들은 세력들이 금융당국과 거래소의 눈을 피해 내부 정보를 공매도로 활용한다고 주장한다 ◇노조 소송 등 투쟁 예고…관계 개선 험로 정 신임 이사장의 출근 첫날 취임식을 막아섰던 거래소 노조는 향후 지속적 투쟁을 예고했다 조직을 빠르게 안정시키고 새로운 정책을 이끌어 가기 위해서는 최고조로 오른 갈등을 풀어야 하지만 쉽지 않아 보인다 노조는 지난달 31일 열린 임시주주총회 결의에 절차적 문제가 있다며 법적 다툼으로 끌고 가겠다는 입장이다 이동기 한국거래소지부장은 “주총 결의 취소소송을 제출해서 법률 투쟁으로 전환할 것”이라며 “선임 과정에서 절차 무효를 주장하고 있고 법률 투쟁으로 다툴 것”이라고 했다 아울러 거래소 이사장으로 선임된 이후 증권금융에서 퇴직했다며 겸직 문제도 제기했다 이 지부장은 “지금까지 이사장들은 겸직이 안 되도록 사직하고 왔다”면서 “선先 사표 후後 취임을 해야한다”고 강조했다 윤필호  
현대ㆍ기아차, 미국 충돌안전 평가서 최고등급 획득	현대차 싼타페 스포츠 현대ㆍ기아차의 미국 현지 차종들이 차량 안정성 평가에서 최고등급을 받았다  3일 업계에 따르면 현대ㆍ기아차 미국 현지 차종인 ‘쏘울’과 ‘스포티지’ ‘아이오닉 하이브리드’ ‘엘란트라 GT’ ‘싼타페 스포츠’ 등 5종이 최근 실시된 미 고속도로안전보험협회IIHS 차량 충돌 시험에서 가장 높은 등급인 ‘톱 세이프티 픽 플러스’2017 Top Safety Pick를 획득했다  IIHS는 이번 충돌 시험에서 전면 충돌 측면 강성 지붕 강성 머리 지지대 등 기존의 충돌 안전성 항목 5개에 더해 전방 충돌 회피 및 헤드라이트 성능 항목을 추가로 평가했다 충돌 안전성 항목에서 ‘우수’good 이상 등급을 획득하고 전방 충돌 회피에서 ‘상급’advanced 헤드라이트 성능에서 ‘양호’acceptable 이상 등급을 받는 차에 한해서만 톱 세이프티 픽 플러스가 부여된다 아이오닉과 쏘울 스포티지 등은 충돌 안전성 관련 5개 항목에서 ‘우수’하다는 평가와 함께 전방 충돌 회피에서 ‘최우수’superior 등급을 따냈다 헤드라이트 기능은 쏘울이 우수 스포티지는 양호 수준으로 평가됐다 이에 따라 톱 세이프티 픽 플러스를 획득한 현대ㆍ기아차 차량은 총 15종으로 늘었다 현대차에선 엘란트라아반떼 엘란트라GTi30 아이오닉 하이브리드 쏘나타 투싼 싼타페맥스크루즈 싼타페 스포츠싼타페 등 7종이 받았고 기아차에선 쏘울 옵티마K5 카덴자K7 포르테K3 스포티지 쏘렌토 등 6종이 획득했다 현대차 프리미엄 브랜드 제네시스도 G80 G90EQ900 등 2종이 최고등급을 받았다 현대차 관계자는 “뛰어난 안전성을 바탕으로 다양한 소비자 보증 프로그램을 마련해 북미 지역에서 판매량을 확대할 수 있도록 노력할 것”이라고 말했다 김현우기자   
두산건설, 3Q 영업익 82억…전년比 99%↑	【서울뉴시스】이승주 기자  두산건설 올 3분기 영업이익이 82억원을 기록했다  두산건설은 연결기준 올 3분기 영업이익이 전년 동기대비 994 증가한 82억원이라고 3일 공시했다   매출은 전년 동기대비 118 증가한 3760억원으로 집계됐다   두산건설 관계자는 3분기 누적 수주액은 1조5000억원이라며 연말까지 2조8000억원 수주를 목표로 최선을 다할 것이라고 말했다   
[코스닥 700]시총 상위주 1~8위 동반 상승…'바이오의 힘'	아시아경제 박미주 기자코스닥지수가 1년 3개월여 만에 종가 기준 700선을 돌파했다 1위부터 8위까지 시가총액 상위주들이 모두 상승했다 바이오주가 상승세를 탄 영향으로 풀이된다 3일 코스닥지수는 전 거래일 대비 617포인트089 오른 70113을 기록했다 이는 장중 포함 52주 최고가를 경신한 것이다 코스닥지수가 종가 기준 700선을 넘어선 것은 지난해 8월12일 70518을 기록한 이후 처음이다 시가총액 상위주들이 동반 상승하며 지수 상승을 이끌었다 시가총액 순으로 셀트리온209 셀트리온헬스케어175 신라젠665 CJ EM121 로엔410 메디톡스697 바이로메드079 코미팜026가 모두 올랐다 이 중 CJ EM과 로엔을 제외한 6개 종목이 모두 바이오업종에 속한다 최근 바이오 열풍을 타고 개인들이 매수에 나서며 지수가 올랐다 이날 코스닥시장에서 개인만 1380억원어치를 순매수했는데 개인들이 바이오주를 사들이는 것으로 보인다 선민정 하나금융투자 연구원은 지난해 한미약품의 기술반환으로 무너진 제약바이오 섹터는 1년 만에 완전히 회복했다며 신약개발 회사들은 한미약품을 비롯 라이선싱 아웃 기대감이 있는 회사들이 미국 바이오시밀러 시장의 도래와 함께 바이오시밀러 개발사들의 주가 흐름이 양호하다고 전했다 선 연구원원은 신약개발 회사들에 대해 단순히 라이선싱 아웃과 관련된 루머나 기대감보다는 임상데이터 결과에 기반한 합리적 투자방식을 제안한다며 글로벌 제약사의 수요가 있는 후보물질인지 경쟁사의 임상 진행정도 등 글로벌 역학관계에 있어서 우리기업이 개발하고 있는 물질의 포지셔닝이 어떠한지 향후 상용화되었을 때 시장에서 경쟁력을 가질만한 임상결과를 보유하고 있는지에 대한 분석을 통해 제약바이오 신약개발 회사들도 합리적인 방식으로 접근할 것을 권유했다 박미주 기자  
